occurrenceID	measurementValue	measurementType	measurementUnit
EE0493_asv.302	3391	sequence reads	
EE0493_asv.303	177	sequence reads	
EE0493_asv.304	1823	sequence reads	
EE0493_asv.305	3068	sequence reads	
EE0493_asv.306	581	sequence reads	
EE0493_asv.308	34	sequence reads	
EE0493_asv.309	59	sequence reads	
EE0493_asv.310	1270	sequence reads	
EE0493_asv.312	131	sequence reads	
EE0493_asv.313	520	sequence reads	
EE0493_asv.314	173	sequence reads	
EE0493_asv.315	15	sequence reads	
EE0493_asv.316	3286	sequence reads	
EE0493_asv.320	232	sequence reads	
EE0493_asv.321	398	sequence reads	
EE0493_asv.322	478	sequence reads	
EE0493_asv.324	146	sequence reads	
EE0493_asv.326	65	sequence reads	
EE0493_asv.327	46	sequence reads	
EE0493_asv.328	664	sequence reads	
EE0493_asv.331	156	sequence reads	
EE0493_asv.332	322	sequence reads	
EE0493_asv.334	23	sequence reads	
EE0493_asv.335	158	sequence reads	
EE0493_asv.336	350	sequence reads	
EE0493_asv.337	252	sequence reads	
EE0493_asv.339	59	sequence reads	
EE0493_asv.343	160	sequence reads	
EE0493_asv.344	121	sequence reads	
EE0493_asv.345	52	sequence reads	
EE0493_asv.350	15	sequence reads	
EE0493_asv.351	214	sequence reads	
EE0493_asv.352	2253	sequence reads	
EE0493_asv.353	197	sequence reads	
EE0493_asv.355	216	sequence reads	
EE0493_asv.356	15	sequence reads	
EE0493_asv.357	194	sequence reads	
EE0493_asv.358	114	sequence reads	
EE0493_asv.359	130	sequence reads	
EE0493_asv.361	221	sequence reads	
EE0493_asv.363	284	sequence reads	
EE0493_asv.364	189	sequence reads	
EE0493_asv.365	176	sequence reads	
EE0493_asv.366	7	sequence reads	
EE0493_asv.367	146	sequence reads	
EE0493_asv.368	85	sequence reads	
EE0493_asv.369	85	sequence reads	
EE0493_asv.370	145	sequence reads	
EE0493_asv.372	108	sequence reads	
EE0493_asv.373	78	sequence reads	
EE0493_asv.375	12	sequence reads	
EE0493_asv.377	276	sequence reads	
EE0493_asv.378	35	sequence reads	
EE0493_asv.379	367	sequence reads	
EE0493_asv.380	1648	sequence reads	
EE0493_asv.381	217	sequence reads	
EE0493_asv.382	322	sequence reads	
EE0493_asv.383	81	sequence reads	
EE0493_asv.384	219	sequence reads	
EE0493_asv.385	403	sequence reads	
EE0493_asv.387	2436	sequence reads	
EE0493_asv.388	51	sequence reads	
EE0493_asv.389	28	sequence reads	
EE0493_asv.390	59	sequence reads	
EE0493_asv.394	909	sequence reads	
EE0493_asv.396	206	sequence reads	
EE0493_asv.397	22	sequence reads	
EE0493_asv.398	219	sequence reads	
EE0493_asv.400	1	sequence reads	
EE0493_asv.401	388	sequence reads	
EE0493_asv.402	20	sequence reads	
EE0493_asv.405	4	sequence reads	
EE0493_asv.406	51	sequence reads	
EE0493_asv.407	31	sequence reads	
EE0493_asv.408	2399	sequence reads	
